Var01,Var02,Var03,Var04,Var05,Var06,Var07,Var08,Var09,Var10,Var11
320420,Central Esp›rito-santense,37.53,29.37,45.68,31.94,28.28,35.6,0.43,0.4,0.45
320425,Litoral Norte Esp›rito-santense,65.38,58.7,72.07,63.22,57.96,68.48,0.47,0.42,0.51
320430,Sul Esp›rito-santense,42.24,36.04,48.44,47.52,43.35,51.7,0.47,0.43,0.5
320435,Litoral Norte Esp›rito-santense,35.26,27.44,43.07,40.66,35.85,45.48,0.45,0.41,0.49
320440,Central Esp›rito-santense,31.01,25.87,36.15,32.12,29.34,34.9,0.42,0.39,0.45
320450,Central Esp›rito-santense,31.7,23.86,39.54,37.9,33.29,42.51,0.42,0.38,0.46
320455,Central Esp›rito-santense,24.39,17.58,31.2,30.02,26.09,33.94,0.41,0.38,0.44
320460,Central Esp›rito-santense,14.43,9.69,19.18,15.97,13.69,18.25,0.43,0.39,0.46
320465,Noroeste Esp›rito-santense,34.27,27.66,40.87,38.19,34.19,42.18,0.43,0.39,0.47
320470,Noroeste Esp›rito-santense,37.18,31.58,42.78,35.83,32.83,38.83,0.45,0.42,0.48
320480,Sul Esp›rito-santense,33.3,27.46,39.15,32.12,29.25,34.99,0.42,0.39,0.46
320490,Litoral Norte Esp›rito-santense,36.13,32.2,40.06,33.48,31.37,35.6,0.46,0.44,0.48
320495,Central Esp›rito-santense,18.87,13.99,23.74,20.22,17.83,22.62,0.41,0.37,0.45
320500,Central Esp›rito-santense,30.6,25.69,35.52,25.07,23.21,26.92,0.44,0.42,0.45
320501,Litoral Norte Esp›rito-santense,54.38,48.77,59.99,54.11,50.12,58.1,0.43,0.4,0.47
320503,Sul Esp›rito-santense,28.12,21.98,34.26,32.16,28.29,36.03,0.44,0.41,0.47
320506,Central Esp›rito-santense,18.63,13.14,24.11,18.12,15.69,20.55,0.4,0.36,0.44
320510,Central Esp›rito-santense,32.51,27.38,37.64,27.18,25.15,29.21,0.39,0.36,0.41
320515,Noroeste Esp›rito-santense,35.5,27.94,43.06,41.41,36.78,46.04,0.42,0.38,0.46
320517,Noroeste Esp›rito-santense,41.99,34.89,49.1,46.86,41.91,51.81,0.44,0.41,0.48
320520,Central Esp›rito-santense,21.07,18.27,23.87,17.11,16.06,18.17,0.48,0.46,0.49
320530,Central Esp›rito-santense,11.26,7.83,14.68,8.56,7.57,9.56,0.47,0.45,0.49
330010,Sul Fluminense,29.08,25.47,32.69,23.98,22.39,25.57,0.44,0.42,0.47
330015,Noroeste Fluminense,25.75,18.73,32.78,21.77,19.29,24.24,0.4,0.37,0.43
330020,Baixadas,37.34,31.35,43.34,32.83,29.68,35.97,0.46,0.44,0.48
330022,Centro Fluminense,22.11,15.97,28.26,17.94,15.78,20.11,0.4,0.37,0.43
330023,Baixadas,15.32,8.4,22.24,11.41,9.65,13.18,0.42,0.39,0.44
330025,Baixadas,15.79,11.05,20.54,11.47,10.29,12.66,0.39,0.37,0.41
330030,Sul Fluminense,21.27,17.01,25.52,17.08,15.69,18.47,0.42,0.4,0.44
330040,Sul Fluminense,15.27,10.9,19.65,11.58,10.37,12.79,0.41,0.39,0.43
330045,Metropolitana do Rio de Janeiro,60.06,54.68,65.45,32.87,30.62,35.12,0.38,0.36,0.4
330050,Centro Fluminense,27.75,22.17,33.32,29.69,26.88,32.5,0.45,0.41,0.49
330060,Noroeste Fluminense,33.86,27.28,40.45,30.75,28.01,33.5,0.46,0.43,0.48
330070,Baixadas,24.01,19.87,28.15,20.82,19.03,22.61,0.44,0.42,0.46
330080,Metropolitana do Rio de Janeiro,41.5,36.53,46.46,37.66,34.98,40.33,0.45,0.42,0.47
330090,Noroeste Fluminense,35.26,30,40.52,34.07,30.99,37.16,0.46,0.43,0.49
330093,Norte Fluminense,18.8,6.82,30.78,16.32,11.67,20.98,0.38,0.36,0.41
330095,Centro Fluminense,27.08,15.3,38.86,22.5,18.48,26.53,0.36,0.33,0.39
330100,Norte Fluminense,33.26,26.48,40.05,29.64,26.41,32.87,0.49,0.47,0.52
330110,Centro Fluminense,26.89,21.89,31.9,25.61,23.11,28.1,0.45,0.42,0.49
330115,Norte Fluminense,43.35,33.99,52.71,42.53,36.97,48.08,0.43,0.4,0.46
330120,Centro Fluminense,24.53,19.5,29.56,21.78,19.56,24,0.42,0.39,0.45
330130,Baixadas,16.92,11.04,22.8,14.06,12.03,16.08,0.41,0.38,0.44
330140,Norte Fluminense,38.21,30.28,46.15,33.11,29.91,36.32,0.4,0.37,0.42
330150,Centro Fluminense,25.23,20.76,29.69,21.06,19.34,22.79,0.41,0.38,0.43
330160,Centro Fluminense,34.9,29.46,40.34,34.29,31.26,37.32,0.4,0.37,0.42
330170,Metropolitana do Rio de Janeiro,53.53,49.79,57.27,29.18,27.61,30.75,0.42,0.4,0.43
330180,Metropolitana do Rio de Janeiro,15.78,10.69,20.88,14,12.18,15.82,0.4,0.37,0.42
330185,Metropolitana do Rio de Janeiro,46.21,40.74,51.68,30.52,27.67,33.37,0.42,0.39,0.44
330187,Baixadas,17.75,13.45,22.05,13.43,12.14,14.72,0.43,0.4,0.46
330190,Metropolitana do Rio de Janeiro,59.43,53.49,65.38,34.28,31.65,36.92,0.39,0.37,0.41
330200,Metropolitana do Rio de Janeiro,52.93,48.87,57,29.19,27.45,30.94,0.4,0.38,0.42
330205,Noroeste Fluminense,27.65,22.04,33.26,26.16,23.56,28.75,0.4,0.38,0.43
330210,Noroeste Fluminense,18.82,15.02,22.62,18.01,16.31,19.72,0.45,0.42,0.49
330220,Noroeste Fluminense,28.38,24.39,32.38,24.34,22.76,25.93,0.45,0.43,0.47
